Date,Scope,Activity,Emission (kg CO2e)
2025-01-06,Scope 1,Gas heating system,562.17
2025-01-13,Scope 2,Factory lighting,377.76
2025-01-30,Scope 3,Raw material procurement,473.49
2025-01-05,Scope 2,Factory lighting,6.27
2025-01-04,Scope 2,Factory lighting,871.31
2025-01-05,Scope 3,Employee business travel,210.11
2025-01-22,Scope 2,Factory lighting,313.76
2025-01-19,Scope 2,Purchased electricity for manufacturing,118.41
2025-01-04,Scope 3,Employee business travel,297.22
2025-01-19,Scope 2,Factory lighting,621.19
2025-01-06,Scope 1,Fuel combustion in company vehicles,770.78
2025-01-14,Scope 1,Fuel combustion in company vehicles,996.71
2025-01-07,Scope 2,Office air conditioning,465.46
2025-01-07,Scope 1,On-site diesel generator use,636.94
2025-01-16,Scope 1,On-site diesel generator use,535.86
2025-01-20,Scope 3,Supplier transportation emissions,226.12
2025-01-05,Scope 1,Gas heating system,261.18
2025-01-24,Scope 3,Supplier transportation emissions,960.32
2025-01-23,Scope 2,Factory lighting,9.18
2025-01-03,Scope 2,Factory lighting,7.09
2025-01-07,Scope 1,Fuel combustion in company vehicles,231.61
2025-01-29,Scope 2,Purchased electricity for manufacturing,414.58
2025-01-03,Scope 1,Fuel combustion in company vehicles,338.46
2025-01-27,Scope 1,Gas heating system,350.16
2025-01-27,Scope 3,Employee business travel,554.1
2025-01-29,Scope 1,Fuel combustion in company vehicles,756.63
2025-01-05,Scope 1,Gas heating system,474.76
2025-01-17,Scope 1,Fuel combustion in company vehicles,410.61
2025-01-04,Scope 1,Fuel combustion in company vehicles,779.63
2025-01-28,Scope 1,On-site diesel generator use,738.0
2025-01-18,Scope 1,Gas heating system,684.92
2025-01-07,Scope 3,Supplier transportation emissions,580.95
2025-01-28,Scope 3,Supplier transportation emissions,862.7
2025-01-17,Scope 2,Factory lighting,589.67
2025-01-03,Scope 3,Supplier transportation emissions,298.5
2025-01-06,Scope 3,Supplier transportation emissions,398.35
2025-01-18,Scope 3,Raw material procurement,760.87
2025-01-01,Scope 1,Fuel combustion in company vehicles,744.79
2025-01-03,Scope 3,Raw material procurement,9.05
2025-01-10,Scope 2,Purchased electricity for manufacturing,228.6
2025-01-16,Scope 2,Factory lighting,486.82
2025-01-18,Scope 3,Raw material procurement,418.29
